Datetime,Open,Low,High,Close,Volume,Adj Close
2019-05-01 09:30:00-04:00,209.88,209.46,210.63,210.02,0.0,210.02
2019-05-01 09:33:00-04:00,209.7,209.69,210.41,210.37,676308.0,210.37
2019-05-01 09:34:00-04:00,210.41,209.98,210.67,210.09,484198.0,210.09
2019-05-01 09:35:00-04:00,210.13,209.25,210.23,209.33,520656.0,209.33
2019-05-01 09:36:00-04:00,209.29,209.25,209.85,209.85,288547.0,209.85
2019-05-01 09:38:00-04:00,209.95,209.82,210.84,210.68,587551.0,210.68
2019-05-01 09:39:00-04:00,210.69,210.5,211.0,210.85,476780.0,210.85
2019-05-01 09:40:00-04:00,210.87,210.85,211.5,211.37,655398.0,211.37
2019-05-01 09:41:00-04:00,211.36,211.12,211.63,211.59,407794.0,211.59
2019-05-01 09:42:00-04:00,211.6,211.32,211.84,211.46,466952.0,211.46
2019-05-01 09:47:00-04:00,211.81,211.64,211.93,211.86,307804.0,211.86
2019-05-01 09:51:00-04:00,211.87,211.4,212.05,211.43,625182.0,211.43
2019-05-01 09:55:00-04:00,211.42,211.16,211.54,211.46,349238.0,211.46
2019-05-01 09:56:00-04:00,211.46,211.17,211.5,211.35,166444.0,211.35
2019-05-01 09:57:00-04:00,211.35,211.21,211.39,211.34,138553.0,211.34
2019-05-01 09:58:00-04:00,211.34,211.13,211.47,211.14,168318.0,211.14
2019-05-01 09:59:00-04:00,211.14,211.12,211.29,211.24,129297.0,211.24
2019-05-01 10:00:00-04:00,211.24,211.01,211.26,211.19,325180.0,211.19
2019-05-01 10:12:00-04:00,212.23,212.22,212.3,212.23,310098.0,212.23
2019-05-01 10:18:00-04:00,212.34,212.26,212.41,212.36,224599.0,212.36
2019-05-01 10:20:00-04:00,212.6,212.6,212.67,212.67,454995.0,212.67
2019-05-01 10:21:00-04:00,212.67,212.57,212.75,212.68,115630.0,212.68
2019-05-01 10:23:00-04:00,212.78,212.51,212.79,212.63,155690.0,212.63
2019-05-01 10:24:00-04:00,212.64,212.63,212.89,212.84,171158.0,212.84
2019-05-01 10:27:00-04:00,212.76,212.54,212.8,212.62,125255.0,212.62
2019-05-01 10:31:00-04:00,212.62,212.51,212.67,212.59,100852.0,212.59
2019-05-01 10:32:00-04:00,212.58,212.58,212.75,212.74,180630.0,212.74
2019-05-01 10:33:00-04:00,212.74,212.69,212.8,212.77,145690.0,212.77
2019-05-01 10:38:00-04:00,212.94,212.82,212.94,212.92,106638.0,212.92
2019-05-01 10:39:00-04:00,212.93,212.76,212.95,212.79,109376.0,212.79
2019-05-01 10:41:00-04:00,212.9,212.67,212.93,212.72,172518.0,212.72
2019-05-01 10:42:00-04:00,212.73,212.48,212.76,212.48,176626.0,212.48
2019-05-01 10:43:00-04:00,212.51,212.4,212.58,212.42,129305.0,212.42
2019-05-01 10:44:00-04:00,212.41,212.41,212.71,212.61,102778.0,212.61
2019-05-01 10:45:00-04:00,212.62,212.61,212.79,212.78,67788.0,212.78
2019-05-01 10:46:00-04:00,212.78,212.74,212.82,212.78,82062.0,212.78
2019-05-01 10:47:00-04:00,212.79,212.7,212.9,212.87,163263.0,212.87
2019-05-01 10:48:00-04:00,212.86,212.75,212.99,212.93,134032.0,212.93
2019-05-01 10:49:00-04:00,212.92,212.85,212.97,212.89,64714.0,212.89
2019-05-01 10:51:00-04:00,212.96,212.87,212.98,212.98,53094.0,212.98
2019-05-01 10:52:00-04:00,212.98,212.95,213.18,213.17,416780.0,213.17
2019-05-01 10:54:00-04:00,213.21,213.14,213.35,213.26,175950.0,213.26
2019-05-01 10:55:00-04:00,213.28,213.2,213.34,213.32,119818.0,213.32
2019-05-01 10:56:00-04:00,213.31,213.17,213.33,213.21,121578.0,213.21
2019-05-01 10:58:00-04:00,213.28,213.2,213.38,213.24,140931.0,213.24
2019-05-01 10:59:00-04:00,213.24,213.02,213.24,213.06,115043.0,213.06
2019-05-01 11:01:00-04:00,213.11,213.01,213.18,213.1,65054.0,213.1
2019-05-01 11:02:00-04:00,213.1,213.04,213.16,213.13,130708.0,213.13
2019-05-01 11:03:00-04:00,213.14,213.14,213.4,213.33,114387.0,213.33
2019-05-01 11:04:00-04:00,213.33,213.3,213.47,213.42,105397.0,213.42
2019-05-01 11:06:00-04:00,213.37,213.36,213.66,213.66,185096.0,213.66
2019-05-01 11:07:00-04:00,213.66,213.55,213.71,213.62,177119.0,213.62
2019-05-01 11:09:00-04:00,213.62,213.61,213.78,213.76,129841.0,213.76
2019-05-01 11:10:00-04:00,213.77,213.77,213.9,213.84,148086.0,213.84
2019-05-01 11:11:00-04:00,213.82,213.76,213.97,213.92,183016.0,213.92
2019-05-01 11:13:00-04:00,213.79,213.77,213.94,213.87,107031.0,213.87
2019-05-01 11:15:00-04:00,213.93,213.89,213.95,213.95,125625.0,213.95
2019-05-01 11:16:00-04:00,213.94,213.93,214.16,214.1,397931.0,214.1
2019-05-01 11:19:00-04:00,214.53,214.33,214.55,214.43,269189.0,214.43
2019-05-01 11:21:00-04:00,214.38,214.38,214.66,214.65,134704.0,214.65
2019-05-01 11:23:00-04:00,214.64,214.62,214.84,214.77,134614.0,214.77
