datetime,AREX,WLL,cash,commission,total,returns,equity_curve,drawdown
2019-05-01 00:00:00,0.0,0.0,10000.0,0.0,10000.0,,,
2019-05-01 13:30:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 13:33:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 13:34:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 13:35:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 13:36:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 13:38:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 13:39:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 13:40:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 13:41:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 13:42:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 13:47:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 13:51:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 13:55:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 13:56:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 13:57:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 13:58:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 13:59:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:00:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:12:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:18:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:20:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:21:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:23:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:24:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:27:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:31:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:32:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:33:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:38:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:39:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:41:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:42:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:43:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:44:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:45:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:46:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:47:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:48:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:49:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:51:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:52:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:54:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:55:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:56:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2019-05-01 14:58:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
