Datetime,Open,Low,High,Close,Volume,Adj Close
2019-05-01 09:30:00-04:00,0.36,0.36,0.36,0.36,0.0,0.36
2019-05-01 09:33:00-04:00,0.359,0.35,0.359,0.359,4981.0,0.359
2019-05-01 09:34:00-04:00,0.359,0.3425,0.359,0.3584,1650.0,0.3584
2019-05-01 09:35:00-04:00,0.3585,0.3585,0.359,0.359,600.0,0.359
2019-05-01 09:36:00-04:00,0.359,0.359,0.359,0.359,800.0,0.359
2019-05-01 09:38:00-04:00,0.3589,0.333,0.362,0.362,27007.0,0.362
2019-05-01 09:39:00-04:00,0.3629,0.3629,0.3629,0.3629,10010.0,0.3629
2019-05-01 09:40:00-04:00,0.3529,0.3508,0.3529,0.3508,4940.0,0.3508
2019-05-01 09:41:00-04:00,0.347,0.347,0.3529,0.3529,4000.0,0.3529
2019-05-01 09:42:00-04:00,0.339,0.339,0.339,0.339,2127.0,0.339
2019-05-01 09:47:00-04:00,0.3529,0.352,0.3529,0.352,2200.0,0.352
2019-05-01 09:51:00-04:00,0.3529,0.3529,0.3529,0.3529,101.0,0.3529
2019-05-01 09:55:00-04:00,0.358,0.358,0.358,0.358,2200.0,0.358
2019-05-01 09:56:00-04:00,0.358,0.358,0.358,0.358,100.0,0.358
2019-05-01 09:57:00-04:00,0.3576,0.3462,0.36,0.3462,3050.0,0.3462
2019-05-01 09:58:00-04:00,0.3458,0.3458,0.3458,0.3458,200.0,0.3458
2019-05-01 09:59:00-04:00,0.3531,0.3531,0.3531,0.3531,2900.0,0.3531
2019-05-01 10:00:00-04:00,0.353,0.353,0.353,0.353,106.0,0.353
2019-05-01 10:12:00-04:00,0.353,0.353,0.353,0.353,1901.0,0.353
2019-05-01 10:18:00-04:00,0.3598,0.3531,0.3599,0.3599,7934.0,0.3599
2019-05-01 10:20:00-04:00,0.36,0.36,0.36,0.36,502.0,0.36
2019-05-01 10:21:00-04:00,0.3533,0.3533,0.3533,0.3533,301.0,0.3533
2019-05-01 10:23:00-04:00,0.36,0.36,0.36,0.36,200.0,0.36
2019-05-01 10:24:00-04:00,0.36,0.3531,0.36,0.3531,1800.0,0.3531
2019-05-01 10:27:00-04:00,0.3533,0.3531,0.3582,0.3531,3836.0,0.3531
2019-05-01 10:31:00-04:00,0.3531,0.3529,0.3531,0.3529,5198.0,0.3529
2019-05-01 10:32:00-04:00,0.3529,0.3458,0.3529,0.3458,3900.0,0.3458
2019-05-01 10:33:00-04:00,0.359,0.359,0.359,0.359,227.0,0.359
2019-05-01 10:38:00-04:00,0.359,0.359,0.359,0.359,102.0,0.359
2019-05-01 10:39:00-04:00,0.3579,0.3579,0.3579,0.3579,103.0,0.3579
2019-05-01 10:41:00-04:00,0.3599,0.3599,0.3599,0.3599,201.0,0.3599
2019-05-01 10:42:00-04:00,0.3458,0.335,0.3465,0.335,10187.0,0.335
2019-05-01 10:43:00-04:00,0.335,0.335,0.335,0.335,204.0,0.335
2019-05-01 10:44:00-04:00,0.335,0.335,0.335,0.335,207.0,0.335
2019-05-01 10:45:00-04:00,0.3384,0.335,0.3384,0.335,3402.0,0.335
2019-05-01 10:46:00-04:00,0.3351,0.3351,0.3351,0.3351,3002.0,0.3351
2019-05-01 10:47:00-04:00,0.3408,0.335,0.3489,0.335,5503.0,0.335
2019-05-01 10:48:00-04:00,0.349,0.335,0.35,0.335,21398.0,0.335
2019-05-01 10:49:00-04:00,0.335,0.335,0.335,0.335,301.0,0.335
2019-05-01 10:51:00-04:00,0.35,0.3387,0.35,0.3387,2552.0,0.3387
2019-05-01 10:52:00-04:00,0.337,0.337,0.349,0.337,502.0,0.337
2019-05-01 10:54:00-04:00,0.337,0.337,0.337,0.337,101.0,0.337
2019-05-01 10:55:00-04:00,0.337,0.337,0.337,0.337,101.0,0.337
2019-05-01 10:56:00-04:00,0.35,0.35,0.35,0.35,202.0,0.35
2019-05-01 10:58:00-04:00,0.337,0.337,0.35,0.35,2202.0,0.35
2019-05-01 10:59:00-04:00,0.3435,0.3435,0.3435,0.3435,202.0,0.3435
2019-05-01 11:01:00-04:00,0.337,0.337,0.3435,0.3435,200.0,0.3435
2019-05-01 11:02:00-04:00,0.337,0.337,0.337,0.337,400.0,0.337
2019-05-01 11:03:00-04:00,0.337,0.337,0.337,0.337,100.0,0.337
2019-05-01 11:04:00-04:00,0.337,0.337,0.337,0.337,180.0,0.337
2019-05-01 11:06:00-04:00,0.337,0.337,0.337,0.337,100.0,0.337
2019-05-01 11:07:00-04:00,0.337,0.337,0.3489,0.3489,300.0,0.3489
