Date,AUDUSD,NZDUSD
2010-07-26,0.90246,0.73345
2010-07-27,0.89361,0.72792
2010-07-28,0.90045,0.72409
2010-07-29,0.90455,0.7258899999999999
2010-08-01,0.91376,0.73292
2010-08-02,0.91276,0.73435
2010-08-03,0.91671,0.7350300000000001
2010-08-04,0.91575,0.73096
2010-08-05,0.91899,0.73277
2010-08-08,0.91653,0.72909
2010-08-09,0.91365,0.72428
2010-08-10,0.8970899999999999,0.7147899999999999
2010-08-11,0.8963399999999999,0.70897
2010-08-12,0.8923700000000001,0.70558
2010-08-15,0.89848,0.7074199999999999
2010-08-16,0.90538,0.71233
2010-08-17,0.89835,0.7145699999999999
2010-08-18,0.89274,0.70729
2010-08-19,0.8922899999999999,0.70727
2010-08-22,0.89136,0.70696
2010-08-23,0.88166,0.70262
2010-08-24,0.8840600000000001,0.6997899999999999
2010-08-25,0.8864,0.70313
2010-08-26,0.89894,0.7124
2010-08-29,0.8918799999999999,0.70729
2010-08-30,0.89066,0.69919
2010-08-31,0.91171,0.71218
2010-09-01,0.91106,0.7148399999999999
2010-09-02,0.91676,0.72096
2010-09-05,0.91769,0.7236899999999999
2010-09-06,0.91069,0.71982
2010-09-07,0.91827,0.7229300000000001
2010-09-08,0.92306,0.7247600000000001
2010-09-09,0.92675,0.7282
2010-09-12,0.93596,0.73401
2010-09-13,0.93971,0.73411
2010-09-14,0.9382299999999999,0.73173
2010-09-15,0.9369299999999999,0.72422
2010-09-16,0.9361,0.7257100000000001
2010-09-19,0.94731,0.73043
2010-09-20,0.95526,0.7351300000000001
2010-09-21,0.95681,0.73869
2010-09-22,0.94906,0.72939
2010-09-23,0.95967,0.73451
2010-09-26,0.961,0.73449
2010-09-27,0.96757,0.73955
2010-09-28,0.96955,0.73816
2010-09-29,0.9671799999999999,0.73445
2010-09-30,0.9729,0.74426
2010-10-03,0.9683,0.74187
2010-10-04,0.97175,0.74947
2010-10-05,0.9773799999999999,0.75252
2010-10-06,0.9824799999999999,0.7505
2010-10-07,0.9859100000000001,0.7548199999999999
2010-10-10,0.98385,0.75188
2010-10-11,0.98619,0.7552399999999999
2010-10-12,0.99051,0.76061
2010-10-13,0.9942,0.75944
2010-10-14,0.98931,0.75429
2010-10-17,0.9890000000000001,0.75569
2010-10-18,0.9686899999999999,0.74439
2010-10-19,0.98716,0.7550899999999999
2010-10-20,0.97731,0.74574
2010-10-21,0.98145,0.74698
2010-10-24,0.99051,0.75234
2010-10-25,0.98541,0.74938
2010-10-26,0.97205,0.74538
2010-10-27,0.97896,0.75425
2010-10-28,0.98014,0.76234
2010-10-31,0.98713,0.76755
2010-11-01,0.99951,0.77158
2010-11-02,1.0061,0.77995
2010-11-03,1.01499,0.7945
2010-11-04,1.01516,0.797
2010-11-07,1.01365,0.78818
2010-11-08,1.00356,0.77775
2010-11-09,1.00536,0.78285
2010-11-10,0.9978100000000001,0.78042
2010-11-11,0.98679,0.77459
2010-11-14,0.9852799999999999,0.77266
2010-11-15,0.9766299999999999,0.76794
2010-11-16,0.9796799999999999,0.77048
2010-11-17,0.98998,0.77842
2010-11-18,0.9857799999999999,0.77945
2010-11-21,0.98859,0.77182
2010-11-22,0.9722799999999999,0.7588600000000001
2010-11-23,0.9817299999999999,0.75995
2010-11-24,0.98083,0.7600100000000001
2010-11-25,0.96445,0.75039
2010-11-28,0.9631799999999999,0.74583
2010-11-29,0.9587399999999999,0.74262
2010-11-30,0.9683799999999999,0.7489600000000001
2010-12-01,0.977,0.7553
2010-12-02,0.9923700000000001,0.7659999999999999
2010-12-05,0.9900200000000001,0.76188
2010-12-06,0.98288,0.75717
2010-12-07,0.9796299999999999,0.74741
2010-12-08,0.9838,0.74876
2010-12-09,0.98526,0.74834
2010-12-12,0.99611,0.75127
2010-12-13,0.99908,0.75174
2010-12-14,0.9869700000000001,0.73954
2010-12-15,0.9902700000000001,0.74036
2010-12-16,0.9882799999999999,0.73742
2010-12-19,0.9935200000000001,0.7421300000000001
2010-12-20,0.99787,0.74403
2010-12-21,0.9990100000000001,0.74039
2010-12-22,1.0043,0.74737
2010-12-23,1.0043799999999998,0.74924
2010-12-26,1.00492,0.75084
2010-12-27,1.0103799999999998,0.75571
2010-12-28,1.018,0.7683300000000001
2010-12-29,1.01724,0.77059
2010-12-30,1.02347,0.77836
2011-01-02,1.0168,0.77337
2011-01-03,1.00526,0.7667
2011-01-04,0.99949,0.75693
2011-01-05,0.9944,0.75679
2011-01-06,0.9965799999999999,0.76122
2011-01-09,0.99566,0.76379
2011-01-10,0.98726,0.76066
2011-01-11,0.9965799999999999,0.7638699999999999
2011-01-12,0.9975200000000001,0.77104
2011-01-13,0.9895799999999999,0.7671600000000001
2011-01-16,0.99395,0.7723899999999999
2011-01-17,0.9994799999999999,0.77205
2011-01-18,1.00088,0.7689600000000001
2011-01-19,0.98695,0.75712
2011-01-20,0.98993,0.75866
2011-01-23,0.9974299999999999,0.76347
2011-01-24,0.99666,0.76881
2011-01-25,0.99954,0.77275
2011-01-26,0.9920100000000001,0.77232
2011-01-27,0.99285,0.7723899999999999
2011-01-30,0.9973299999999999,0.77259
2011-01-31,1.0112299999999999,0.7817
2011-02-01,1.01032,0.77346
2011-02-02,1.01558,0.77367
2011-02-03,1.0139799999999999,0.76867
2011-02-06,1.0135100000000001,0.77007
2011-02-07,1.01472,0.7751600000000001
2011-02-08,1.0124799999999998,0.77235
2011-02-09,1.00458,0.76417
2011-02-10,1.00194,0.7601899999999999
2011-02-13,1.00324,0.7571
2011-02-14,0.9966799999999999,0.7523
2011-02-15,1.00365,0.75502
2011-02-16,1.0121200000000001,0.75945
2011-02-17,1.01468,0.7614
2011-02-20,1.00966,0.7641399999999999
2011-02-21,0.9991700000000001,0.74675
2011-02-22,1.00254,0.7459600000000001
2011-02-23,1.00905,0.74768
2011-02-24,1.01744,0.75132
2011-02-27,1.01868,0.7527
2011-02-28,1.0136,0.7475
2011-03-01,1.0172,0.74348
2011-03-02,1.01485,0.74125
2011-03-03,1.01387,0.7386199999999999
2011-03-06,1.0121,0.7372
2011-03-07,1.0101,0.73985
2011-03-08,1.01105,0.73695
2011-03-09,1.00111,0.73585
2011-03-10,1.01529,0.7437600000000001
2011-03-13,1.00987,0.73944
2011-03-14,0.99098,0.73192
2011-03-15,0.9840000000000001,0.72865
2011-03-16,0.9804299999999999,0.71815
2011-03-17,0.9970399999999999,0.73126
2011-03-20,1.00643,0.7359600000000001
2011-03-21,1.0105,0.74005
2011-03-22,1.0134,0.74075
2011-03-23,1.0212,0.75325
2011-03-24,1.02547,0.7531899999999999
2011-03-27,1.0245,0.7515
2011-03-28,1.0291700000000001,0.75627
2011-03-29,1.0331,0.7623800000000001
2011-03-30,1.03295,0.76153
2011-03-31,1.03884,0.76766
2011-04-03,1.0363,0.76828
2011-04-04,1.0329700000000002,0.76852
2011-04-05,1.04417,0.77985
2011-04-06,1.04701,0.77913
2011-04-07,1.05785,0.7835
2011-04-10,1.0498,0.77994
2011-04-11,1.04378,0.7842100000000001
2011-04-12,1.05072,0.78977
2011-04-13,1.0546,0.79385
2011-04-14,1.05606,0.79955
2011-04-17,1.05112,0.7910699999999999
2011-04-18,1.0528,0.78884
2011-04-19,1.0716,0.79855
2011-04-20,1.075,0.8005899999999999
2011-04-21,1.0744,0.80223
2011-04-24,1.0723200000000002,0.79965
2011-04-25,1.07877,0.80621
2011-04-26,1.0875,0.8091
2011-04-27,1.09294,0.8026800000000001
2011-04-28,1.0967799999999999,0.8096300000000001
2011-05-01,1.0945,0.8066
2011-05-02,1.08465,0.79869
2011-05-03,1.0747799999999998,0.79013
2011-05-04,1.0581,0.78441
2011-05-05,1.0691,0.79043
2011-05-08,1.08074,0.79601
2011-05-09,1.0839,0.79562
2011-05-10,1.07013,0.7894
2011-05-11,1.06794,0.79585
2011-05-12,1.0566,0.78738
2011-05-15,1.05575,0.77967
2011-05-16,1.0629,0.78495
2011-05-17,1.06341,0.78919
2011-05-18,1.0669,0.7910699999999999
2011-05-19,1.06695,0.79725
2011-05-22,1.0506,0.79045
2011-05-23,1.056,0.79625
2011-05-24,1.05365,0.7989
2011-05-25,1.0647,0.81165
2011-05-26,1.06922,0.81613
2011-05-29,1.0694,0.81652
2011-05-30,1.06732,0.82411
2011-05-31,1.06152,0.8146800000000001
2011-06-01,1.067,0.8163
2011-06-02,1.07263,0.81515
2011-06-05,1.07136,0.81453
2011-06-06,1.07199,0.82083
2011-06-07,1.06294,0.81575
2011-06-08,1.0630600000000001,0.82505
2011-06-09,1.05493,0.8215
2011-06-12,1.0603,0.81567
2011-06-13,1.06873,0.8183
2011-06-14,1.05786,0.80693
2011-06-15,1.0559399999999999,0.80513
2011-06-16,1.0615,0.81214
2011-06-19,1.05834,0.81055
2011-06-20,1.06084,0.81277
2011-06-21,1.05795,0.81482
2011-06-22,1.05237,0.81428
2011-06-23,1.05014,0.81111
2011-06-26,1.04436,0.80558
2011-06-27,1.0541399999999999,0.81221
2011-06-28,1.06826,0.82557
2011-06-29,1.07219,0.8292
2011-06-30,1.07831,0.82791
2011-07-03,1.07375,0.8297200000000001
2011-07-04,1.0692700000000002,0.82525
2011-07-05,1.07015,0.8271
2011-07-06,1.07766,0.83363
2011-07-07,1.07627,0.8375799999999999
2011-07-10,1.06571,0.82947
2011-07-11,1.0599399999999999,0.8182699999999999
2011-07-12,1.07596,0.8374299999999999
2011-07-13,1.07241,0.8428
2011-07-14,1.06606,0.8472
2011-07-17,1.06075,0.84515
2011-07-18,1.07324,0.85616
2011-07-19,1.0751600000000001,0.85641
2011-07-20,1.08423,0.8635
2011-07-21,1.08565,0.86441
2011-07-24,1.08454,0.86426
2011-07-25,1.09574,0.87075
2011-07-26,1.1026,0.8708
2011-07-27,1.10036,0.87145
2011-07-28,1.09877,0.8793
2011-07-31,1.09722,0.87685
2011-08-01,1.07805,0.86665
2011-08-02,1.07564,0.8639
2011-08-03,1.04654,0.8364
2011-08-04,1.04661,0.8445
2011-08-07,1.0187899999999999,0.8212299999999999
2011-08-08,1.0356,0.83841
2011-08-09,1.01804,0.81174
2011-08-10,1.03532,0.8325
2011-08-11,1.03534,0.83278
2011-08-14,1.05079,0.83305
2011-08-15,1.04864,0.83675
2011-08-16,1.05515,0.83783
2011-08-17,1.03934,0.82175
2011-08-18,1.04037,0.81844
2011-08-21,1.04094,0.82483
2011-08-22,1.05265,0.83626
2011-08-23,1.04744,0.82865
2011-08-24,1.04315,0.8275899999999999
2011-08-25,1.0579399999999999,0.8400799999999999
2011-08-28,1.06615,0.8465
2011-08-29,1.06825,0.85344
2011-08-30,1.07075,0.85434
2011-08-31,1.07221,0.85115
2011-09-01,1.06578,0.8459700000000001
2011-09-04,1.05532,0.8323200000000001
2011-09-05,1.04847,0.82285
2011-09-06,1.0662399999999999,0.83225
2011-09-07,1.05764,0.83101
2011-09-08,1.04532,0.82234
2011-09-11,1.03501,0.8235299999999999
2011-09-12,1.03122,0.82305
2011-09-13,1.0290000000000001,0.8240000000000001
2011-09-14,1.03295,0.8240799999999999
2011-09-15,1.03685,0.8293299999999999
2011-09-18,1.0223200000000001,0.8252
2011-09-19,1.0279399999999999,0.8242700000000001
2011-09-20,1.00434,0.80145
2011-09-21,0.97435,0.78103
2011-09-22,0.9767299999999999,0.77505
2011-09-25,0.9833200000000001,0.7804800000000001
2011-09-26,0.99131,0.78875
2011-09-27,0.9781700000000001,0.77728
2011-09-28,0.9783799999999999,0.77125
2011-09-29,0.9679399999999999,0.76254
2011-10-02,0.9528700000000001,0.7530899999999999
2011-10-03,0.95763,0.76083
2011-10-04,0.9659700000000001,0.76652
2011-10-05,0.9748399999999999,0.77188
2011-10-06,0.97875,0.77082
2011-10-09,0.9990399999999999,0.78393
2011-10-10,0.9953,0.7802100000000001
2011-10-11,1.0159799999999999,0.7963100000000001
2011-10-12,1.01928,0.79533
2011-10-13,1.0344799999999998,0.80521
2011-10-16,1.0158200000000002,0.7917
2011-10-17,1.02664,0.7960699999999999
2011-10-18,1.02253,0.79196
2011-10-19,1.02354,0.79404
2011-10-20,1.0357100000000001,0.80323
2011-10-23,1.04739,0.80757
2011-10-24,1.04294,0.79748
2011-10-25,1.04007,0.8013100000000001
2011-10-26,1.07311,0.82291
2011-10-27,1.07111,0.82275
2011-10-30,1.0530700000000002,0.80703
2011-10-31,1.03312,0.79535
2011-11-01,1.03485,0.79177
2011-11-02,1.04179,0.79575
2011-11-03,1.0383799999999999,0.79519
2011-11-06,1.03801,0.79727
2011-11-07,1.03931,0.79861
2011-11-08,1.01426,0.78151
2011-11-09,1.01563,0.77759
2011-11-10,1.0285,0.7862100000000001
2011-11-13,1.02068,0.78075
2011-11-14,1.01787,0.77145
2011-11-15,1.00858,0.76615
2011-11-16,1.0001200000000001,0.75935
2011-11-17,1.00022,0.7565
2011-11-20,0.98434,0.74746
2011-11-21,0.9833700000000001,0.74756
2011-11-22,0.96888,0.7400800000000001
2011-11-23,0.9736,0.74195
2011-11-24,0.97004,0.73916
2011-11-27,0.99064,0.7552
2011-11-28,1.00026,0.76154
2011-11-29,1.02839,0.78092
2011-11-30,1.02444,0.77942
2011-12-01,1.0213,0.77789
2011-12-04,1.02688,0.7804399999999999
2011-12-05,1.0245,0.7799
2011-12-06,1.0295100000000001,0.77995
2011-12-07,1.01673,0.7725
2011-12-08,1.02245,0.77588
2011-12-11,1.00746,0.76297
2011-12-12,1.0017399999999999,0.75739
2011-12-13,0.9911,0.75084
2011-12-14,0.9923,0.75366
2011-12-15,0.99839,0.76247
2011-12-18,0.98974,0.75558
2011-12-19,1.00814,0.76805
2011-12-20,1.0105,0.77062
2011-12-21,1.01309,0.77435
2011-12-22,1.0153,0.77496
2011-12-25,1.0171700000000001,0.77504
2011-12-26,1.01597,0.77346
2011-12-27,1.00955,0.76946
2011-12-28,1.01388,0.77173
2011-12-29,1.02106,0.7778
2012-01-01,1.0240799999999999,0.77893
2012-01-02,1.0379399999999999,0.7903899999999999
2012-01-03,1.03712,0.7878
2012-01-04,1.02643,0.78141
2012-01-05,1.0235,0.78103
2012-01-08,1.02419,0.78735
2012-01-09,1.0315299999999998,0.79467
2012-01-10,1.03122,0.79714
2012-01-11,1.03345,0.7939
2012-01-12,1.03324,0.79555
2012-01-15,1.03175,0.79408
2012-01-16,1.03767,0.80093
2012-01-17,1.04382,0.80445
2012-01-18,1.04197,0.80307
2012-01-19,1.04875,0.80672
2012-01-22,1.05275,0.81072
2012-01-23,1.04972,0.81202
2012-01-24,1.05979,0.81695
2012-01-25,1.06344,0.8219700000000001
2012-01-26,1.0665,0.8248700000000001
2012-01-29,1.0601399999999999,0.81932
2012-01-30,1.06229,0.82658
2012-01-31,1.07056,0.8325
2012-02-01,1.07148,0.83324
2012-02-02,1.07749,0.83725
2012-02-05,1.07274,0.8343700000000001
2012-02-06,1.0810899999999999,0.8359
2012-02-07,1.08004,0.83441
2012-02-08,1.07877,0.83415
2012-02-09,1.06786,0.82689
2012-02-12,1.07324,0.8341700000000001
2012-02-13,1.06936,0.83393
2012-02-14,1.0699299999999998,0.83326
2012-02-15,1.07568,0.8333299999999999
2012-02-16,1.0702,0.83296
2012-02-19,1.0755,0.8403299999999999
2012-02-20,1.06635,0.83396
2012-02-21,1.06385,0.8293299999999999
2012-02-22,1.0718,0.83645
2012-02-23,1.06964,0.8360799999999999
2012-02-26,1.07594,0.84099
2012-02-27,1.07677,0.83791
2012-02-28,1.07339,0.83425
2012-02-29,1.08118,0.83965
