datetime,AAPL,cash,commission,total,return,equity_curve,drawdown
1990-01-01,0.0,100000.0,0.0,100000.0,,,
1990-01-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-31,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-25,15.603706240653992,99982.31610621214,1.3,99997.91981245279,-2.080187547204293e-05,0.999979198124528,2.080187547204293e-05
1990-05-29,15.993797779083252,99982.31610621214,1.3,99998.30990399122,3.900996532246737e-06,0.9999830990399121,1.6900960087884442e-05
1990-05-30,16.140080988407135,99982.31610621214,1.3,99998.45618720054,1.4628568170138578e-06,0.9999845618720055,1.5438127994538142e-05
1990-05-31,16.091321408748627,99982.31610621214,1.3,99998.40742762088,-4.876033242728894e-07,0.9999840742762088,1.5925723791165858e-05
1990-06-01,15.896277129650116,99982.31610621214,1.3,99998.21238334179,-1.9504738536513244e-06,0.9999821238334179,1.787616658210922e-05
1990-06-04,15.896277129650116,99982.31610621214,1.3,99998.21238334179,0.0,0.9999821238334179,1.787616658210922e-05
1990-06-05,15.408660471439362,99982.31610621214,1.3,99997.72476668358,-4.876253750785153e-06,0.9999772476668358,2.2752333164177685e-05
1990-06-06,15.408660471439362,99982.31610621214,1.3,99997.72476668358,0.0,0.9999772476668358,2.2752333164177685e-05
1990-06-07,15.213614702224731,99982.31610621214,1.3,99997.52972091436,-1.950502070635629e-06,0.9999752972091437,2.470279085631244e-05
1990-06-08,14.921045303344727,99982.31610621214,1.3,99997.23715151548,-2.925766263373042e-06,0.999972371515155,2.7628484845054757e-05
1990-06-11,15.213614702224731,99982.31610621214,1.3,99997.52972091436,2.9257748235256287e-06,0.9999752972091438,2.4702790856201418e-05
1990-06-12,15.798753499984741,99982.31610621214,1.3,99998.11485971212,5.851532526746084e-06,0.9999811485971214,1.885140287860576e-05
1990-06-13,15.506179630756378,99982.31610621214,1.3,99997.82228584289,-2.925793847641245e-06,0.9999782228584291,2.1777141570922254e-05
1990-06-14,15.506179630756378,99982.31610621214,1.3,99997.82228584289,0.0,0.9999782228584291,2.1777141570922254e-05
1990-06-15,15.408660471439362,99982.31610621214,1.3,99997.72476668358,-9.752128304896246e-07,0.9999772476668359,2.2752333164066663e-05
1990-06-18,15.311141312122345,99982.31610621214,1.3,99997.62724752426,-9.752137815066675e-07,0.9999762724752428,2.372752475721107e-05
1990-06-19,15.457423031330109,99982.31610621214,1.3,99997.77352924347,1.4628519018344832e-06,0.9999777352924347,2.2264707565278208e-05
1990-06-20,15.603706240653992,99982.31610621214,1.3,99997.91981245279,1.462864663404062e-06,0.9999791981245278,2.0801875472153952e-05
1990-06-21,16.335132718086246,99982.31610621214,1.3,99998.65123893022,7.314416927917122e-06,0.9999865123893021,1.3487610697859864e-05
1990-06-22,16.18884652853012,99982.31610621214,1.3,99998.50495274067,-1.462881626390633e-06,0.9999850495274065,1.4950472593477926e-05
1990-06-25,16.091321408748627,99982.31610621214,1.3,99998.40742762088,-9.75265778468959e-07,0.9999840742762087,1.592572379127688e-05
1990-06-26,15.847514569759369,99982.31610621214,1.3,99998.1636207819,-2.4381072185608588e-06,0.9999816362078188,1.8363792181230743e-05
1990-06-27,16.18884652853012,99982.31610621214,1.3,99998.50495274067,3.4133822703896755e-06,0.9999850495274065,1.4950472593477926e-05
1990-06-28,16.77398830652237,99982.31610621214,1.3,99999.09009451866,5.8515052627772235e-06,0.9999909009451865,9.099054813499485e-06
1990-06-29,17.456647753715515,99982.31610621214,1.3,99999.77275396585,6.826656588021507e-06,0.9999977275396584,2.2724603415680278e-06
1990-07-02,17.16408133506775,99982.31610621214,1.3,99999.4801875472,-2.9256708349301164e-06,0.999994801875472,5.1981245280385835e-06
1990-07-03,17.16408133506775,99982.31610621214,1.3,99999.4801875472,0.0,0.999994801875472,5.1981245280385835e-06
1990-07-05,16.96903109550476,99982.31610621214,1.3,99999.28513730764,-1.9505125345986585e-06,0.9999928513730764,7.148626923636492e-06
1990-07-06,17.456647753715515,99982.31610621214,1.3,99999.77275396585,4.8762014401848575e-06,0.9999977275396584,2.2724603415680278e-06
1990-07-09,18.188075721263885,99982.31610621214,1.3,100000.5041819334,7.314296296856426e-06,1.0000050418193338,0.0
1990-07-10,18.33435744047165,99982.31610621214,1.3,100000.65046365261,1.4628098168323334e-06,1.0000065046365259,0.0
1990-07-11,18.33435744047165,99982.31610621214,1.3,100000.65046365261,0.0,1.0000065046365259,0.0
1990-07-12,18.48064363002777,99982.31610621214,1.3,100000.79674984216,1.4628523803406068e-06,1.0000079674984215,0.0
1990-07-13,18.236830830574043,99982.31610621214,1.3,100000.55293704271,-2.4381085689251236e-06,1.0000055293704269,2.438127994608408e-06
1990-07-16,17.797979712486267,99982.31610621214,1.3,100000.11408592462,-4.388486915307688e-06,1.000001140859246,6.826639175505633e-06
1990-07-17,17.261601984500885,99982.31610621214,1.3,99999.57770819664,-5.3637711605603045e-06,0.9999957770819661,1.2190416455393205e-05
1990-07-18,17.407889664173126,99982.31610621214,1.3,99999.72399587631,1.4628829743124072e-06,0.9999972399587628,1.0727539658694774e-05
1990-07-19,16.286373138427734,99982.31610621214,1.3,99998.60247935056,-1.1215196211833423e-05,0.9999860247935053,2.1942704916178002e-05
1990-07-20,15.993797779083252,99982.31610621214,1.3,99998.30990399122,-2.925794482022681e-06,0.9999830990399119,2.4868458509574864e-05
1990-07-23,16.18884652853012,99982.31610621214,1.3,99998.50495274067,1.950520460036742e-06,0.9999850495274063,2.2917971015168348e-05
1990-07-24,16.43264591693878,99982.31610621214,1.3,99998.74875212908,2.4380303338400466e-06,0.9999874875212904,2.0479977131060423e-05
1990-07-25,16.481415927410126,99982.31610621214,1.3,99998.79752213955,4.877062071972915e-07,0.9999879752213952,1.999227702631501e-05
1990-07-26,16.140080988407135,99982.31610621214,1.3,99998.45618720054,-3.4133904353028655e-06,0.9999845618720051,2.3405626416339587e-05
1990-07-27,16.140080988407135,99982.31610621214,1.3,99998.45618720054,0.0,0.9999845618720051,2.3405626416339587e-05
1990-07-30,16.530179977416992,99982.31610621214,1.3,99998.84628618955,3.901050114940574e-06,0.9999884628618951,1.9504636526335162e-05
